,junction_id,branch_id,lane_id,lane_sequence_id,sequence_head_lane_id,num_sequence_head_lane_ids
0,RYcT,Sy2KY,lXo5,0,8V6+,1
1,RYcT,Sy2KY,8V6+,0,8V6+,1
2,RYcT,Sy2KY,bW6+,1,bW6+,1
3,RYcT,Sy2KY,EYo5,1,bW6+,1
4,RYcT,Sy2KY,6W6+,2,6W6+,1
5,RYcT,Sy2KY,jYo5,2,6W6+,1
6,RYcT,NPJXi,O09S,6,5cF2,1
7,RYcT,NPJXi,5cF2,6,5cF2,1
8,RYcT,NPJXi,hfgF,6,5cF2,1
9,RYcT,NPJXi,/iRV,7,YdF2,1
10,RYcT,NPJXi,YdF2,7,YdF2,1
11,RYcT,NPJXi,AggF,7,YdF2,1
12,RYcT,Edzt0,xsPT,8,7/jP,1
13,RYcT,Edzt0,dfr0,8,7/jP,1
14,RYcT,Edzt0,7/jP,8,7/jP,1
15,RYcT,Edzt0,9E7T,9,c/jP,1
16,RYcT,Edzt0,SsPT,9,c/jP,1
17,RYcT,Edzt0,c/jP,9,c/jP,1
18,RYcT,WNPJXi,ZAJ6,10,ZAJ6,1
19,RYcT,WNPJXi,w8g9,10,ZAJ6,1
20,RYcT,WNPJXi,0ct5,10,ZAJ6,1
21,RYcT,WNPJXi,N4Gm,10,ZAJ6,1
22,RYcT,WNPJXi,EwNX,10,ZAJ6,1
23,RYcT,WNPJXi,CBiG,10,ZAJ6,1
24,RYcT,WNPJXi,lQSv,10,ZAJ6,1
27,qnJy,StDjm,GNgT,11,y3uS,1
28,qnJy,StDjm,8Jjx,11,y3uS,1
29,qnJy,StDjm,4ZaL,11,y3uS,1
30,qnJy,StDjm,XQbC,11,y3uS,1
31,qnJy,StDjm,y3uS,11,y3uS,1
32,qnJy,StDjm,T3uS,12,T3uS,1
33,qnJy,StDjm,dJjx,12,T3uS,1
34,qnJy,StDjm,azKs,12,T3uS,1
35,qnJy,StDjm,S0Yy,12,T3uS,1
36,qnJy,StDjm,nMgT,12,T3uS,1
37,qnJy,StDjm,0c3b,12,T3uS,1
38,qnJy,StDjm,UhC0,12,T3uS,1
39,qnJy,NQxfR,YFUz,13,YFUz,1
40,qnJy,NQxfR,ne+2,13,YFUz,1
41,qnJy,NQxfR,Ie+2,14,5EUz,1
42,qnJy,NQxfR,5EUz,14,5EUz,1
43,qnJy,NQxfR,pd+2,15,aEUz,1
44,qnJy,NQxfR,aEUz,15,aEUz,1
45,ctKJ,E6WDG,9x/Q,19,aVLS,1
46,ctKJ,E6WDG,Yt7t,19,aVLS,1
52,ctKJ,E6WDG,I0cX,19,aVLS,1
53,ctKJ,E6WDG,lWJX,19,aVLS,1
54,ctKJ,E6WDG,RJSO,19,aVLS,1
55,ctKJ,E6WDG,aVLS,19,aVLS,1
56,ctKJ,E6WDG,4SLN,20,7ULS,1
57,ctKJ,E6WDG,oZs2,20,7ULS,1
58,ctKJ,E6WDG,7ULS,20,7ULS,1
59,ctKJ,E6WDG,GWJX,20,7ULS,1
60,ctKJ,E6WDG,yISO,20,7ULS,1
61,ctKJ,E6WDG,ex/Q,20,7ULS,1
62,ctKJ,E6WDG,Y4as,21,cULS,1
63,ctKJ,E6WDG,/w/Q,21,cULS,1
64,ctKJ,E6WDG,TISO,21,cULS,1
65,ctKJ,E6WDG,I/7V,21,cULS,1
66,ctKJ,E6WDG,cULS,21,cULS,1
67,ctKJ,E6WDG,nVJX,21,cULS,1
68,Luda,NtUCt,3BET,22,3BET,1
69,Luda,NtUCt,Ph2V,22,3BET,1
70,DoQH,SXep7,uTFZ,24,1WHi,1
71,DoQH,SXep7,vRim,24,1WHi,1
72,DoQH,SXep7,1WHi,24,1WHi,1
73,DoQH,SXep7,WWHi,25,WWHi,1
74,DoQH,SXep7,e+cf,25,WWHi,1
75,DoQH,SXep7,PTFZ,25,WWHi,1
76,DoQH,SXep7,+js+,26,3VHi,1
77,DoQH,SXep7,3VHi,26,3VHi,1
78,DoQH,SXep7,wSFZ,26,3VHi,1
79,DoQH,SXep7,YVHi,27,YVHi,1
80,DoQH,SXep7,RSFZ,27,YVHi,1
81,DoQH,SXep7,eJ8d,27,YVHi,1
82,DoQH,NAc+E,hiPr,28,LXvy,1
83,DoQH,NAc+E,LXvy,28,LXvy,1
84,DoQH,NAc+E,ORvO,28,LXvy,1
85,DoQH,NAc+E,qXvy,29,qXvy,1
86,DoQH,NAc+E,AjPr,29,qXvy,1
87,DoQH,NAc+E,urfv,29,qXvy,1
88,DoQH,NAc+E,JYvy,30,JYvy,1
89,DoQH,NAc+E,fjPr,30,JYvy,1
90,DoQH,NAc+E,OGQQ,30,JYvy,1
91,DoQH,NAc+E,ilp5,31,oYvy,1
92,DoQH,NAc+E,+jPr,31,oYvy,1
93,DoQH,NAc+E,oYvy,31,oYvy,1
94,ECHt,E+/YT,Bm9O,32,Bm9O,1
97,ECHt,E+/YT,LJOb,32,Bm9O,1
98,ECHt,E+/YT,il9O,33,il9O,1
99,ECHt,E+/YT,sIOb,33,il9O,1
100,ECHt,E+/YT,Mud6,34,Dl9O,1
101,ECHt,E+/YT,i70Z,34,Dl9O,1
102,ECHt,E+/YT,Dl9O,34,Dl9O,1
103,ECHt,E+/YT,sTtZ,35,kk9O,1
104,ECHt,E+/YT,kk9O,35,kk9O,1
105,ECHt,E+/YT,D70Z,35,kk9O,1
108,ECHt,W9rSL,oS2N,36,/TlD,1
109,ECHt,W9rSL,/TlD,36,/TlD,1
110,ECHt,W9rSL,eUlD,37,eUlD,1
111,ECHt,W9rSL,HT2N,37,eUlD,1
112,ECHt,W9rSL,ntmu,38,9UlD,1
113,ECHt,W9rSL,9UlD,38,9UlD,1
114,ECHt,W9rSL,myz0,38,9UlD,1
115,ECHt,W9rSL,Fzz0,39,cVlD,1
116,ECHt,W9rSL,cVlD,39,cVlD,1
117,ECHt,W9rSL,HIXP,39,cVlD,1
118,FToR,EIyZ/,89HH,40,89HH,1
119,FToR,EIyZ/,cuTw,40,89HH,1
120,FToR,EIyZ/,Fw8W,40,89HH,1
121,FToR,EIyZ/,mv8W,41,d9HH,1
122,FToR,EIyZ/,d9HH,41,d9HH,1
123,FToR,EIyZ/,+8HH,42,+8HH,1
124,FToR,EIyZ/,Hv8W,42,+8HH,1
125,FToR,EIyZ/,f8HH,43,f8HH,1
126,FToR,EIyZ/,ou8W,43,f8HH,1
127,FToR,W6VZ4,RYJ5,48,jMm1,1
128,FToR,W6VZ4,7E5x,48,jMm1,1
129,FToR,W6VZ4,jMm1,48,jMm1,1
130,FToR,W6VZ4,bqIR,49,EMm1,1
131,FToR,W6VZ4,yXJ5,49,EMm1,1
132,FToR,W6VZ4,EMm1,49,EMm1,1
135,FToR,W6VZ4,7PYw,50,lLm1,1
136,FToR,W6VZ4,lLm1,50,lLm1,1
137,FToR,W6VZ4,cPYw,51,GLm1,1
138,FToR,W6VZ4,GLm1,51,GLm1,1
139,FToR,Shq4c,7cfh,52,8OiE,1
140,FToR,Shq4c,8OiE,52,8OiE,1
141,FToR,Shq4c,L2BE,53,FHu2,1
142,FToR,Shq4c,FHu2,53,FHu2,1
143,FToR,Shq4c,5dfh,54,6PiE,1
144,FToR,Shq4c,6PiE,54,6PiE,1
145,FToR,N/JZp,i1zF,55,YkSE,1
146,FToR,N/JZp,YkSE,55,YkSE,1
147,FToR,N/JZp,UsOS,55,YkSE,1
148,FToR,N/JZp,pz9a,55,YkSE,1
149,FToR,N/JZp,Awwv,55,YkSE,1
150,FToR,N/JZp,vZz/,55,YkSE,1
151,FToR,N/JZp,An6,55,YkSE,1
152,FToR,N/JZp,f/dY,57,pXNd,1
153,FToR,N/JZp,9A/o,57,pXNd,1
154,FToR,N/JZp,bmKy,57,pXNd,1
155,FToR,N/JZp,pXNd,57,pXNd,1
156,FToR,N/JZp,poec,58,poec,1
157,FToR,N/JZp,Cjk3,58,poec,1
158,FToR,N/JZp,HXf/,58,poec,1
159,FToR,N/JZp,g2zF,58,poec,1
162,U6Ym,N8W33,UdQ/,60,CPtm,1
163,U6Ym,N8W33,mc89,60,CPtm,1
164,U6Ym,N8W33,qgZI,60,CPtm,1
165,U6Ym,N8W33,veYS,60,CPtm,1
166,U6Ym,N8W33,kHou,60,CPtm,1
167,U6Ym,N8W33,K6x8,60,CPtm,1
168,U6Ym,N8W33,CPtm,60,CPtm,1
169,U6Ym,N8W33,hKQN,60,CPtm,1
170,U6Ym,N8W33,TMC8,60,CPtm,1
171,U6Ym,N8W33,BLzy,60,CPtm,1
174,U6Ym,N8W33,cJJW,60,CPtm,1
175,U6Ym,N8W33,RRaM,60,CPtm,1
176,U6Ym,N8W33,w8hY,60,CPtm,1
177,U6Ym,N8W33,TNYY,60,CPtm,1
178,U6Ym,N8W33,9HQY,60,CPtm,1
179,U6Ym,N8W33,9qCn,61,lPtm,1
180,U6Ym,N8W33,lPtm,61,lPtm,1
181,U6Ym,N8W33,+P/J,61,lPtm,1
182,U6Ym,N8W33,UB+4,61,lPtm,1
183,U6Ym,N8W33,sien,61,lPtm,1
184,U6Ym,EqqbQ,YU/N,62,DvGy,1
185,U6Ym,EqqbQ,DvGy,62,DvGy,1
186,U6Ym,EqqbQ,5T/N,63,kuGy,1
187,U6Ym,EqqbQ,kuGy,63,kuGy,1
188,U6Ym,EqqbQ,FuGy,64,FuGy,1
189,U6Ym,EqqbQ,aT/N,64,FuGy,1
190,U6Ym,EqqbQ,mtGy,65,mtGy,1
191,U6Ym,EqqbQ,7S/N,65,mtGy,1
192,U6Ym,WuX82,Zcl0,70,+55w,1
193,U6Ym,WuX82,+55w,70,+55w,1
194,U6Ym,WuX82,P8yN,70,+55w,1
195,U6Ym,WuX82,u8yN,71,d65w,1
196,U6Ym,WuX82,d65w,71,d65w,1
197,U6Ym,WuX82,4cl0,71,d65w,1
198,U6Ym,WuX82,Y3VV,72,865w,1
199,U6Ym,WuX82,N9yN,72,865w,1
200,U6Ym,WuX82,865w,72,865w,1
201,U6Ym,WuX82,s9yN,73,b75w,1
202,U6Ym,WuX82,4RG2,73,b75w,1
203,U6Ym,WuX82,b75w,73,b75w,1
208,E0Us,NAQ7m,nGHV,78,k3bp,1
209,E0Us,NAQ7m,bE4V,78,k3bp,1
212,E0Us,NAQ7m,k3bp,78,k3bp,1
215,E0Us,NAQ7m,8D4V,79,F3bp,1
216,E0Us,NAQ7m,F3bp,79,F3bp,1
217,E0Us,NAQ7m,IGHV,79,F3bp,1
218,E0Us,ET60+,CyA0,80,VUqQ,1
219,E0Us,ET60+,VUqQ,80,VUqQ,1
220,E0Us,ET60+,qoFo,80,VUqQ,1
221,E0Us,ET60+,jxA0,81,2TqQ,1
222,E0Us,ET60+,KOVH,81,2TqQ,1
223,E0Us,ET60+,2TqQ,81,2TqQ,1
224,E0Us,ET60+,qzkm,82,XTqQ,1
227,E0Us,ET60+,XTqQ,82,XTqQ,1
230,E0Us,ET60+,Lzkm,83,4SqQ,1
231,E0Us,ET60+,4SqQ,83,4SqQ,1
236,E0Us,WFGY0,YpFh,85,cKUZ,1
237,E0Us,WFGY0,ESMC,85,cKUZ,1
242,E0Us,WFGY0,DwB3,85,cKUZ,1
243,E0Us,WFGY0,JhvO,85,cKUZ,1
246,E0Us,WFGY0,cKUZ,85,cKUZ,1
251,E0Us,WFGY0,9JUZ,86,9JUZ,1
252,E0Us,WFGY0,4OV,86,9JUZ,1
253,E0Us,WFGY0,jVRW,86,9JUZ,1
254,E0Us,WFGY0,lRMC,86,9JUZ,1
255,E0Us,WFGY0,qgvO,86,9JUZ,1
256,E0Us,WFGY0,D7g1,87,eJUZ,1
257,E0Us,WFGY0,eJUZ,87,eJUZ,1
258,E0Us,WFGY0,GRMC,87,eJUZ,1
259,E0Us,WFGY0,LgvO,87,eJUZ,1
260,E0Us,WFGY0,Y0kf,87,eJUZ,1
261,E0Us,WFGY0,sfvO,88,/IUZ,1
262,E0Us,WFGY0,jgwU,88,/IUZ,1
263,E0Us,WFGY0,4Z0+,88,/IUZ,1
264,E0Us,WFGY0,nQMC,88,/IUZ,1
265,E0Us,WFGY0,/IUZ,88,/IUZ,1
266,3Ccg,NFThX,hINg,94,hINg,1
269,3Ccg,NFThX,1lJr,94,hINg,1
270,3Ccg,NFThX,uZT/,94,hINg,1
280,3Ccg,NFThX,J+PS,94,hINg,1
281,3Ccg,NFThX,//Qg,94,hINg,1
282,3Ccg,NFThX,CINg,95,CINg,1
283,3Ccg,NFThX,WlJr,95,CINg,1
288,3Ccg,NFThX,O/ie,95,CINg,1
289,3Ccg,NFThX,3kJr,96,jHNg,1
290,3Ccg,NFThX,v+ie,96,jHNg,1
291,3Ccg,NFThX,jHNg,96,jHNg,1
292,3Ccg,EB35n,jqeT,97,ake8,1
293,3Ccg,EB35n,cUvZ,97,ake8,1
294,3Ccg,EB35n,p2A2,97,ake8,1
295,3Ccg,EB35n,ake8,97,ake8,1
296,3Ccg,EB35n,Zt8F,97,ake8,1
297,3Ccg,EB35n,7je8,98,7je8,1
298,3Ccg,EB35n,DQuy,98,7je8,1
299,3Ccg,EB35n,K2A2,98,7je8,1
300,3Ccg,EB35n,r1A2,99,cje8,1
301,3Ccg,EB35n,cje8,99,cje8,1
302,3Ccg,EB35n,j19R,99,cje8,1
303,3Ccg,EB35n,DbNx,100,9ie8,1
304,3Ccg,EB35n,M1A2,100,9ie8,1
305,3Ccg,EB35n,9ie8,100,9ie8,1
306,3Ccg,S8XK4,ceFW,101,vLqW,1
307,3Ccg,S8XK4,tqfl,101,vLqW,1
308,3Ccg,S8XK4,vLqW,101,vLqW,1
309,3Ccg,S8XK4,QLqW,102,QLqW,1
310,3Ccg,S8XK4,pxWe,102,QLqW,1
311,3Ccg,S8XK4,vb5l,102,QLqW,1
312,3Ccg,S8XK4,qpj8,102,QLqW,1
313,3Ccg,S8XK4,9dFW,102,QLqW,1
314,3Ccg,S8XK4,NQvE,102,QLqW,1
315,3Ccg,S8XK4,168D,103,vijX,1
316,3Ccg,S8XK4,ig2B,103,vijX,1
317,3Ccg,S8XK4,vijX,103,vijX,1
318,3Ccg,S8XK4,4Y+a,103,vijX,1
323,3Ccg,WX0Uk,12MV,104,iD65,1
324,3Ccg,WX0Uk,iD65,104,iD65,1
325,3Ccg,WX0Uk,BE65,105,BE65,1
326,3Ccg,WX0Uk,U3MV,105,BE65,1
327,3Ccg,WX0Uk,5mPX,106,gE65,1
328,3Ccg,WX0Uk,0R91,106,gE65,1
329,3Ccg,WX0Uk,gE65,106,gE65,1
330,3Ccg,WX0Uk,i0tN,106,gE65,1
331,3Ccg,WX0Uk,SIca,107,/E65,1
332,3Ccg,WX0Uk,/E65,107,/E65,1
333,3Ccg,WX0Uk,CPeu,107,/E65,1
334,3Ccg,WX0Uk,YnPX,107,/E65,1
335,3Ccg,WX0Uk,UstW,107,/E65,1
336,y4Ss,Evy5c,8/TT,108,AxmM,1
337,y4Ss,Evy5c,AxmM,108,AxmM,1
338,y4Ss,Evy5c,fxmM,109,fxmM,1
339,y4Ss,Evy5c,bAUT,109,fxmM,1
340,y4Ss,Evy5c,6AUT,110,+xmM,1
341,y4Ss,Evy5c,+xmM,110,+xmM,1
342,y4Ss,WOuys,Lwft,111,H+dt,1
343,y4Ss,WOuys,dPy4,111,H+dt,1
344,y4Ss,WOuys,H+dt,111,H+dt,1
345,y4Ss,WOuys,DfoC,111,H+dt,1
346,y4Ss,WOuys,TbHk,111,H+dt,1
347,y4Ss,WOuys,Qvqr,111,H+dt,1
350,y4Ss,WOuys,8Py4,112,m+dt,1
351,y4Ss,WOuys,wJbM,112,m+dt,1
352,y4Ss,WOuys,ybHk,112,m+dt,1
353,y4Ss,WOuys,m+dt,112,m+dt,1
354,LrDx,NPYIq,Eijc,113,jZCn,1
355,LrDx,NPYIq,jZCn,113,jZCn,1
356,LrDx,NPYIq,WpUL,113,jZCn,1
357,LrDx,NPYIq,eR/Y,114,eR/Y,1
358,LrDx,NPYIq,BKVh,114,eR/Y,1
359,LrDx,NPYIq,LSuc,114,eR/Y,1
360,LrDx,NPYIq,xFWI,115,/Q/Y,1
361,LrDx,NPYIq,cja6,115,/Q/Y,1
362,LrDx,NPYIq,/Q/Y,115,/Q/Y,1
363,LrDx,S4QRn,2cmH,116,kgCj,1
364,LrDx,S4QRn,Xbgn,116,kgCj,1
365,LrDx,S4QRn,kgCj,116,kgCj,1
366,LrDx,S4QRn,xL/3,117,DhCj,1
367,LrDx,S4QRn,DhCj,117,DhCj,1
368,LrDx,S4QRn,bh2y,117,DhCj,1
369,LrDx,S4QRn,emZY,118,emZY,1
370,LrDx,S4QRn,qlr2,118,emZY,1
371,LrDx,S4QRn,wu0x,118,emZY,1
